thisRow.t	notes	TrialNumber	WarningType	TargetType	FlankingType	TargetDirection	CorrectAnswer	fixationStart_onsetTime	cue_onsetTime	fixationMiddle_onsetTime	target_onsetTime	reaction_time	RT	response	ACC	fixationEnd_onsetTime	subID	sessionID	time	
		9	cue	up	incongruent	left	f	0.0070444580051116645	0.018778500001644716	0.22231250000186265	5.034034249983961	5.804876957990928	0.7708427080069669	f	1	5.034034249983961	000	prac	2024-07-08_09:38:51	
		12	cue	up	congruent	right	j	11.509035291994223	11.5222553749918	11.72617325000465	13.285958416992798	13.9280681249802	0.6421097079874016	j	1	13.285958416992798	000	prac	2024-07-08_09:38:51	
		18	cue	up	congruent	left	f	19.758004417002667	19.768389957986074	19.972057582985144	24.78159808300552	25.312981541996123	0.5313834589906037	f	1	24.78159808300552	000	prac	2024-07-08_09:38:51	
		3	center	up	congruent	right	j	28.0008878329827	28.014999124978203	28.218597707978915	33.02465141698485	33.649115332984366	0.6244639159995131	j	1	33.02465141698485	000	prac	2024-07-08_09:38:51	
		35	center	down	congruent	right	j	35.99392154198722	36.00350329198409	36.207252624997636	36.51201208299608	37.164778832986485	0.6527667499904055	j	1	36.51201208299608	000	prac	2024-07-08_09:38:51	
		1	cue	up	congruent	right	j	40.23115758298081	40.24057437499869	40.44392383299419	41.2487714169838	41.72134487499716	0.4725734580133576	j	1	41.2487714169838	000	prac	2024-07-08_09:38:51	
		10	no	down	incongruent	left	f	45.720161167002516	45.72970958298538	45.93336687498959	48.240888041997096	49.00463966699317	0.7637516249960754	f	1	48.240888041997096	000	prac	2024-07-08_09:38:51	
		33	no	down	incongruent	left	f	51.210315832984634	51.21964804199524	51.423545249999734	51.72825662500691	52.18541816700599	0.4571615419990849	j	0	51.72825662500691	000	prac	2024-07-08_09:38:51	
		2	no	down	incongruent	right	j	56.19854737498099	56.21500795800239	56.418525582994334	56.973490457981825	None	None	None	0	56.973490457981825	000	prac	2024-07-08_09:38:51	
		24	no	up	incongruent	right	j	66.94590179200168	66.95644441698096	67.15997033298481	67.96479291698779	None	None	None	0	67.96479291698779	000	prac	2024-07-08_09:38:51	
		11	center	down	incongruent	left	f	75.93417670798954	75.94678587498493	76.15025087498361	76.45499391699559	None	None	None	0	76.45499391699559	000	prac	2024-07-08_09:38:51	
		2	center	up	incongruent	right	j	79.6747053329891	79.68387341700145	79.8872502919985	80.44191670799046	None	None	None	0	80.44191670799046	000	prac	2024-07-08_09:38:51	
		22	no	down	congruent	right	j	90.41279854200548	90.42237354198005	90.62586599998758	91.43052558298223	None	None	None	0	91.43052558298223	000	prac	2024-07-08_09:38:51	
		15	no	down	incongruent	right	j	95.40178520799964	95.41138754200074	95.61482758299098	97.92121079200297	None	None	None	0	97.92121079200297	000	prac	2024-07-08_09:38:51	
		16	no	up	incongruent	left	f	101.39176545798546	101.40152116699028	101.60500408298685	101.9097093330056	None	None	None	0	101.9097093330056	000	prac	2024-07-08_09:38:51	
		34	no	up	congruent	left	f	109.87908079198678	109.88890512500075	110.0923122499953	110.39778408300481	None	None	None	0	110.39778408300481	000	prac	2024-07-08_09:38:51	
		6	center	down	incongruent	left	f	114.86769570800243	114.87982879197807	115.08341491699684	116.1403660000069	None	None	None	0	116.1403660000069	000	prac	2024-07-08_09:38:51	
		8	cue	down	incongruent	left	f	119.61218349999399	119.62147520799772	119.82521999999881	126.38379091699608	127.00427487498382	0.6204839579877444	f	1	126.38379091699608	000	prac	2024-07-08_09:38:51	
		32	center	up	incongruent	right	j	130.1031901249953	130.11359100000118	130.31725504199858	136.87408524999046	137.85482512498857	0.9807398749981076	j	1	136.87408524999046	000	prac	2024-07-08_09:38:51	
		7	no	down	congruent	right	j	141.84386862500105	141.85385729197878	142.05737408300047	145.36320754198823	145.96469445800176	0.6014869160135277	j	1	145.36320754198823	000	prac	2024-07-08_09:38:51	
		20	center	up	incongruent	right	j	150.3328921670036	150.3480296669877	150.5514579169976	151.6083563749853	152.36561387497932	0.7572574999940116	j	1	151.6083563749853	000	prac	2024-07-08_09:38:51	
		36	center	up	incongruent	left	f	155.07829341699835	155.0874488329864	155.2909684169863	158.09730949997902	159.29729433299508	1.1999848330160603	f	1	158.09730949997902	000	prac	2024-07-08_09:38:51	
		33	center	up	incongruent	left	f	164.06654658299522	164.07882516700192	164.28229662499507	164.58705083298264	165.30607991700526	0.7190290840226226	f	1	164.58705083298264	000	prac	2024-07-08_09:38:51	
