Weight,Procedure_Nested,TrialNumber,WarningType,TargetType,FlankingType,TargetDirection,TargetFilePath,TargetImage,CorrectAnswer,IntervalBetweenCueAndTarget,DurationOfTarget,DurationOfFixation,DurationOfFixationEnd,CuePositionY,CuePositionY2,TargetPosition,ConditionNumber
1,EventProc,6,cue,down,incongruent,left,experiment_design/stimuli,rrlrr,7,750,2000,0,500,270,-100,270,4
1,EventProc,7,cue,down,congruent,left,experiment_design/stimuli,lllll,7,3000,2000,0,2000,270,-100,270,3
1,EventProc,8,center,down,congruent,left,experiment_design/stimuli,lllll,7,6250,2000,0,750,240,-100,270,1
1,EventProc,9,center,up,congruent,left,experiment_design/stimuli,lllll,7,4500,2000,0,3500,240,-100,210,1
1,EventProc,10,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,2000,2000,0,0,-100,-100,270,6
1,EventProc,11,center,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,250,240,-100,210,1
1,EventProc,12,no,down,congruent,left,experiment_design/stimuli,lllll,7,1250,2000,0,3500,-100,-100,270,5
1,EventProc,13,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,2500,210,-100,210,4
1,EventProc,14,no,up,incongruent,right,experiment_design/stimuli,llrll,2,11500,2000,0,12000,-100,-100,210,6
1,EventProc,15,center,up,incongruent,right,experiment_design/stimuli,llrll,2,2000,2000,0,500,240,-100,210,2
1,EventProc,16,cue,up,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,5000,210,-100,210,4
1,EventProc,17,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,1250,2000,0,7000,240,-100,270,2
1,EventProc,18,cue,up,congruent,left,experiment_design/stimuli,lllll,7,4500,2000,0,250,210,-100,210,3
1,EventProc,19,no,up,congruent,right,experiment_design/stimuli,rrrrr,2,11500,2000,0,1000,-100,-100,210,5
1,EventProc,20,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,750,2000,0,500,240,-100,270,1
1,EventProc,21,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,1250,2000,0,750,270,-100,270,4
1,EventProc,22,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,500,2000,0,1000,270,-100,270,4
1,EventProc,23,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,6250,2000,0,12000,-100,-100,270,5
1,EventProc,24,center,down,incongruent,right,experiment_design/stimuli,llrll,2,500,2000,0,5000,240,-100,270,2
1,EventProc,25,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,0,2000,0,2500,240,-100,270,1
1,EventProc,26,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,250,240,-100,270,2
1,EventProc,27,center,up,incongruent,right,experiment_design/stimuli,llrll,2,11500,2000,0,0,240,-100,210,2
1,EventProc,28,no,up,incongruent,left,experiment_design/stimuli,rrlrr,7,3000,2000,0,1000,-100,-100,210,6
1,EventProc,29,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,2000,2000,0,7000,210,-100,210,3
1,EventProc,30,center,up,incongruent,left,experiment_design/stimuli,rrlrr,7,3000,2000,0,2500,240,-100,210,2
1,EventProc,31,no,up,congruent,left,experiment_design/stimuli,lllll,7,750,2000,0,2000,-100,-100,210,5
1,EventProc,32,no,up,incongruent,right,experiment_design/stimuli,llrll,2,6250,2000,0,2000,-100,-100,210,6
1,EventProc,33,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,1500,-100,-100,270,6
1,EventProc,34,no,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,1500,-100,-100,210,5
1,EventProc,35,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,0,2000,0,750,-100,-100,270,5
1,EventProc,36,cue,down,congruent,right,experiment_design/stimuli,rrrrr,2,250,2000,0,3500,270,-100,270,3
1,EventProc,35,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,2500,2000,0,3000,240,-100,270,1
1,EventProc,36,center,up,incongruent,left,experiment_design/stimuli,rrlrr,7,2500,2000,0,3000,240,-100,210,2
1,EventProc,1,center,up,incongruent,right,experiment_design/stimuli,llrll,2,500,2000,0,1500,240,-100,210,2
1,EventProc,2,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,250,2000,0,7000,210,-100,210,3
1,EventProc,3,no,down,congruent,left,experiment_design/stimuli,lllll,7,4500,2000,0,0,-100,-100,270,5
1,EventProc,4,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,250,2000,0,5000,210,-100,210,4
1,EventProc,5,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,12000,240,-100,270,2
1,EventProc,6,no,up,congruent,right,experiment_design/stimuli,rrrrr,2,750,2000,0,500,-100,-100,210,5
1,EventProc,7,center,down,incongruent,right,experiment_design/stimuli,llrll,2,3000,2000,0,2000,240,-100,270,2
1,EventProc,8,cue,down,incongruent,left,experiment_design/stimuli,rrlrr,7,6250,2000,0,750,270,-100,270,4
1,EventProc,9,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,4500,2000,0,3500,210,-100,210,4
1,EventProc,10,cue,down,congruent,left,experiment_design/stimuli,lllll,7,2000,2000,0,0,270,-100,270,3
1,EventProc,11,cue,up,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,250,210,-100,210,4
1,EventProc,12,center,up,congruent,right,experiment_design/stimuli,rrrrr,2,1250,2000,0,3500,240,-100,210,1
1,EventProc,13,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,0,2000,0,2500,-100,-100,270,5
1,EventProc,14,cue,down,congruent,left,experiment_design/stimuli,lllll,7,11500,2000,0,12000,270,-100,270,3
1,EventProc,15,no,down,incongruent,right,experiment_design/stimuli,llrll,2,2000,2000,0,500,-100,-100,270,6
1,EventProc,16,no,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,5000,-100,-100,210,5
1,EventProc,17,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,1250,2000,0,7000,-100,-100,270,6
