thisRow.t,notes,SlideFixationStart.OnsetTime,SlideTarget.RT,SlideTarget.RESP,SlideTarget.ACC,subID,sessionID,runID,
,,3.191183832997922,4.8139709590032,j,0,001,pre,01,
,,9.157208874996286,10.213394709004206,j,0,001,pre,01,
,,13.407869542003027,12.235715959002846,f,0,001,pre,01,
,,15.42986912500055,14.241469625005266,f,0,001,pre,01,
,,17.435821666993434,20.406390834003105,j,0,001,pre,01,
,,23.60239874999388,22.247032667000894,j,0,001,pre,01,
,,25.445433667002362,23.835228916999768,f,0,001,pre,01,
,,27.0292652920034,26.0591699170036,f,0,001,pre,01,
,,29.25327187500079,30.747938208995038,f,0,001,pre,01,
,,33.94454812500044,38.68291833400144,f,0,001,pre,01,
,,41.8783815420029,44.62482637500216,j,0,001,pre,01,
,,47.81906045800133,48.07863758399617,j,0,001,pre,01,
,,51.272835083000246,49.93961475000833,f,0,001,pre,01,
,,53.133547791992896,52.59563445900858,j,0,001,pre,01,
,,55.78980650000449,54.02348649999476,j,0,001,pre,01,
,,57.217666291995556,67.68532375000359,j,0,001,pre,01,
,,70.88110441699973,71.16806595900562,j,0,001,pre,01,
,,74.36221258300066,72.84601599999587,f,0,001,pre,01,
,,76.0401221249922,75.58828233400709,f,0,001,pre,01,
,,78.78262262500357,81.62008195900125,j,0,001,pre,01,
,,84.81430158299918,94.8296707499976,f,0,001,pre,01,
,,98.02598187499098,97.205511209002,j,0,001,pre,01,
,,100.3996124999976,99.87460925000778,j,0,001,pre,01,
,,103.06878212500305,102.03832362500543,f,0,001,pre,01,
,,105.23231491699698,109.809375249999,f,0,001,pre,01,
,,113.00363558299432,111.82706395900459,f,0,001,pre,01,
,,115.0212382079917,113.30722124999738,f,0,001,pre,01,
,,116.50095979199978,115.14606658399862,f,0,001,pre,01,
,,118.34002999999211,128.3911637919955,j,0,001,pre,01,
,,131.58580250000523,132.86690925000585,f,0,001,pre,01,
,,136.06160579199786,136.60172020900063,j,0,001,pre,01,
,,139.79583733300387,141.38374633400235,j,0,001,pre,01,
,,144.5777785829996,143.73358704200655,f,0,001,pre,01,
,,146.92768708299263,151.60153941699537,f,0,001,pre,01,
,,154.7956631249981,153.05836108399672,j,0,001,pre,01,
,,156.25229716699687,154.48621245899994,j,0,001,pre,01,
,,157.68020375000197,155.84532704199955,j,0,001,pre,01,
,,159.0394539169938,157.516224084,j,0,001,pre,01,
